Span length [km],Fiber 1,Fiber 2,Fiber 3,Fiber 4
148.0,8.087485941761935,10.760232288068746,11.42805353957262,12.846904997205542
149.0,7.9986422152358525,10.691055225123772,11.35333541654671,12.784097367662472
150.0,7.8693082004255555,10.581404154181893,11.238148771331502,12.6808333320161
151.0,7.761644933820882,10.494179202006615,11.145220992056469,12.600283868600656
152.0,7.673266023895415,10.425505868800967,11.071044018377936,12.538047078791259
153.0,7.5436361008347745,10.315586390306919,10.955632258408425,12.434585520780827
154.0,7.454083407327679,10.247149775379622,10.881714863006302,12.372630786688063
155.0,7.366208506279655,10.179037521526196,10.808130156277995,12.311023641250014
156.0,7.255356097262738,10.068885962406508,10.692520167104902,12.20739768086015
157.0,7.168013802408739,10.001029637499279,10.619214349447487,12.146087488867293
158.0,7.080604511637651,9.933510543797901,10.54647031449721,12.085136985465681
159.0,6.950610647371544,9.82312843003055,10.428787712450275,11.98134697146687
160.0,6.863819836979836,9.755879146536167,10.3561601164529,11.920711950178843
161.0,6.758124304040784,9.670408981430272,10.26519773965086,11.842160320886048
162.0,6.627932522757284,9.55976777435797,10.149196316599365,11.738171806674499
163.0,6.541766667906051,9.493141574553658,10.077229057975266,11.67822155745479
164.0,6.411410171453178,9.382347196912816,9.961100794594135,11.586017490191892
165.0,6.325523428066456,9.316022173179794,9.889448698990833,11.526538268217985
166.0,6.240020725523683,9.250082530750111,9.818193779546991,11.46747091091405
167.0,6.109429370276443,9.13906248955468,9.701862050297853,11.351081572825215
168.0,6.024239623266281,9.073446766798561,9.63094040615819,11.292236206094492
169.0,5.893499754437321,8.962278743713838,9.514467143148362,11.187856068239977
170.0,5.808633277624763,8.8969933343546,9.443886551889108,11.129379887024768
171.0,5.658246844267513,8.766817955509751,9.308317509705544,11.006332703317053
172.0,5.573704747530515,8.701850216410117,9.238021161022594,10.948208308922707
173.0,5.489586263923751,8.637312923204496,9.168193051560866,10.8905299240938
174.0,5.358444505892027,8.525752735984135,9.05136374358926,10.78584440010474
175.0,5.27469470803017,8.461586222991045,8.98193436206477,10.728570562770205
176.0,5.143412000643474,8.349883116418338,8.864985479007059,10.623891094136832
177.0,5.0600402207296895,8.292047874977683,8.79596542203984,10.565078606592065
178.0,4.928615675141807,8.19233805508884,8.678900881811247,10.460193276955415
179.0,4.845635799090524,8.128911322821526,8.628004211079476,10.403780012289157
180.0,4.714068209552894,8.017092781976913,8.510979551541265,10.298784234623328
181.0,4.611790088482547,7.935153689410894,8.423789128060266,10.22402616663048
182.0,4.48005698624951,7.823186579509278,8.306623796822233,10.118905624958451
183.0,4.397886780356774,7.760820782339046,8.239034261730916,10.063357957327199
184.0,4.265885438971925,7.648748347749975,8.121747002133507,9.958116513689136
185.0,4.184121055480345,7.586821980893068,8.0546152066879,9.903036894236564
186.0,4.052081148951609,7.474616413157577,7.937213884701788,9.797685465371051
187.0,3.9199786510710215,7.362369058645079,7.819746837014253,9.692282495757617
188.0,3.8386059866385107,7.300831681039252,7.753026271490373,9.63761182439524
189.0,3.706379866523381,7.188438400198467,7.635533186287335,9.532094308332498
190.0,3.625487176002178,7.12737657402474,7.569316612170461,9.495506279060281
191.0,3.47322928392102,6.995538586263029,7.432276847091457,9.371027381768881
192.0,3.392813212786022,6.934948730856934,7.366537549762155,9.299638311446241
193.0,3.260321350259236,6.822281704482484,7.24870047985652,9.193857357711511
194.0,3.1804126744498076,6.762200450717483,7.1830760287265925,9.140664724142868
195.0,3.047791519440569,6.649409973012701,7.065007389878342,9.034786610024936
196.0,2.914676407778474,6.536556535287945,6.947416150221995,8.947504836512435
197.0,2.8352788124185135,6.476939661800518,6.88283474308723,8.894981494016946
198.0,2.702578616547582,6.363965266719348,6.764891519420173,8.789120448785447
199.0,2.6223878262344247,6.304888298163199,6.700934336152822,8.73715987351671
200.0,2.490459449595142,6.191802354340602,6.58163736761395,8.631201856626927
201.0,2.3354300626455275,6.059125188765394,6.444036926516421,8.505990505032347
202.0,2.2669716163064004,6.000526869948227,6.38029080770793,8.45454446894445
203.0,2.1347719941188856,5.887245125978533,6.2618679760828915,8.348419479271968
204.0,2.0558505584138027,5.829225581931281,6.198649042725828,8.297574698518332
205.0,1.9228627219270713,5.715827171813967,6.080137532189148,8.191350729463915
206.0,1.7893572449356236,5.602370894121541,5.96158549640463,8.08508624087682
207.0,1.6985130099265904,5.544891555334354,5.8990310738035205,8.03480705145078
208.0,1.5642776434460082,5.4313622408181725,5.7803895632548725,7.928433947035732
209.0,1.4302841387991787,5.317715298432952,5.661704094506314,7.8220276395808215
210.0,1.3525901058579732,5.2607878677689905,5.599707022944413,7.772328527043591
211.0,1.1977336029701817,5.127311363090881,5.461147167311392,7.646420190176833
212.0,1.1216502294882806,5.071012843920229,5.399790917044998,7.597403836312142
213.0,1.0004942703989084,4.957142218491931,5.280857732107425,7.490797787175177
214.0,0.8539591742923367,4.843222052527069,5.162092682464223,7.384145745728607
215.0,0.7755486470973505,4.787542319911067,5.102321332585137,7.335736252346158
216.0,0.6404048745912352,4.673518476637563,4.984250973296366,7.228957217979659
217.0,0.5060632423922851,4.559443115106785,4.873242751344339,7.121762425321419
218.0,0.43088186442468235,4.504413990192454,4.813604145816902,7.07383881648
219.0,0.3123606687682692,4.390240592410126,4.681119722704023,6.96673683988181
220.0,0.1776227582668124,4.2760218949288396,4.560933144854934,6.8605443887448745
221.0,0.08205140075995665,4.2017527537113875,4.482121828829744,6.794012173507298
222.0,-0.06750322481726911,4.087406865168542,4.361565456752132,6.687219686327948
223.0,-0.20259777222708486,3.972656014982718,4.241137788089199,6.580118483654024
224.0,-0.27728408830251006,3.9189624088313773,4.182587450963238,6.5327543320510255
225.0,-0.4129541855140779,3.8044607961776373,4.048484289373517,6.42560824367149
226.0,-0.5322595156442045,3.6899174646688673,3.9500837706075043,6.3183140975633405
227.0,-0.6055968554827889,3.6369248851182894,3.8961534727058673,6.272502170909494
228.0,-0.7408170341568088,3.5223493677842566,3.769679487219604,6.165122830006871
229.0,-0.8769377304274162,3.406261339720766,3.650198270958887,6.057709526651042
230.0,-1.0123454759794566,3.2924143203257152,3.5336667140361424,5.950259994613371
231.0,-1.1060846942629023,3.218806280779626,3.4560483872930376,5.885528398374522
232.0,-1.2418525646654412,3.1137979135649845,3.335741499426649,5.7779976075663715
233.0,-1.3777334261532026,2.9983662643808557,3.215216487868541,5.67042433651323
234.0,-1.4516802499974322,2.9467926916439415,3.1579496033188406,5.626191874065932
235.0,-1.5867717906801833,2.8321686506665804,3.037290646248332,5.518505473035507
236.0,-1.7219484120665935,2.7172726201613706,2.9169636384528363,5.410782496689672
237.0,-1.8525707962886298,2.60209966849847,2.798216125762101,5.3030163118886655
238.0,-1.9288980100098492,2.607808021813966,2.741402323601873,5.259551544416388
239.0,-2.0650828072671583,2.4214475821307406,2.6208823228949782,5.151703510663612
240.0,-2.201343776864915,2.3061586842583512,2.5015868898351474,5.044945938297097
